Found in File;SEVERITY;Statustext
AntennaTracker/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;command received:
AntennaTracker/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;Initialising APM...
AntennaTracker/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;new HOME received
AntennaTracker/sensors.cpp;MAV_SEVERITY_WARNING;barometer calibration complete
AntennaTracker/sensors.cpp;MAV_SEVERITY_WARNING;Calibrating barometer
AntennaTracker/system.cpp;MAV_SEVERITY_WARNING;\nReady to track.
AntennaTracker/system.cpp;MAV_SEVERITY_WARNING;ignoring invalid START_LATITUDE or START_LONGITUDE parameter
APMrover2/commands.cpp;MAV_SEVERITY_WARNING;init home
APMrover2/commands.cpp;MAV_SEVERITY_WARNING;Resetting prev_WP
APMrover2/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;command received:
APMrover2/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;Initialising APM...
APMrover2/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;PX4:
APMrover2/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;Unsupported preflight calibration
APMrover2/Log.cpp;MAV_SEVERITY_WARNING;No dataflash card inserted
APMrover2/navigation.cpp;MAV_SEVERITY_CRITICAL;<navigate> WP error - distance < 0
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Collective too high
APMrover2/sensors.cpp;MAV_SEVERITY_WARNING;barometer calibration complete
APMrover2/sensors.cpp;MAV_SEVERITY_WARNING;Calibrating barometer
APMrover2/Steering.cpp;MAV_SEVERITY_WARNING;AUTO triggered off
APMrover2/Steering.cpp;MAV_SEVERITY_WARNING;Triggered AUTO with pin
APMrover2/system.cpp;MAV_SEVERITY_WARNING;\n\n Ready to drive.
APMrover2/system.cpp;MAV_SEVERITY_WARNING;<startup_ground> GROUND START
APMrover2/system.cpp;MAV_SEVERITY_WARNING;<startup_ground> With Delay
APMrover2/system.cpp;MAV_SEVERITY_ALERT;"Beginning INS calibration ;  do not move plane"
APMrover2/system.cpp;MAV_SEVERITY_ALERT;Warming up ADC...
ArduCopter/AP_State.cpp;MAV_SEVERITY_INFO;Simple:OFF
ArduCopter/AP_State.cpp;MAV_SEVERITY_INFO;Simple:ON
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Throttle too high
ArduCopter/AP_State.cpp;MAV_SEVERITY_INFO;SuperSimple:ON
ArduCopter/control_autotune.cpp;MAV_SEVERITY_CRITICAL;AutoTune: Failed
ArduCopter/control_autotune.cpp;MAV_SEVERITY_CRITICAL;AutoTune: Saved Gains
ArduCopter/control_autotune.cpp;MAV_SEVERITY_CRITICAL;AutoTune: Started
ArduCopter/control_autotune.cpp;MAV_SEVERITY_CRITICAL;AutoTune: Stopped
ArduCopter/control_autotune.cpp;MAV_SEVERITY_CRITICAL;AutoTune: Success
ArduCopter/crash_check.cpp;MAV_SEVERITY_CRITICAL;Parachute: Landed
ArduCopter/crash_check.cpp;MAV_SEVERITY_CRITICAL;Parachute: Released!
ArduCopter/crash_check.cpp;MAV_SEVERITY_CRITICAL;Parachute: Too Low
ArduCopter/ekf_check.cpp;MAV_SEVERITY_CRITICAL;EKF variance
ArduPlane/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;bad fence point
ArduCopter/esc_calibration.cpp;MAV_SEVERITY_CRITICAL;ESC Calibration: auto calibration
ArduCopter/esc_calibration.cpp;MAV_SEVERITY_CRITICAL;ESC Calibration: push safety switch
ArduCopter/esc_calibration.cpp;MAV_SEVERITY_CRITICAL;ESC Calibration: restart board
ArduCopter/events.cpp;MAV_SEVERITY_CRITICAL;Low Battery!
ArduCopter/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;bad rally point index
ArduCopter/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;bad rally point message count
ArduCopter/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;bad rally point message ID
ArduCopter/GCS_Mavlink.cpp;MAV_SEVERITY_CRITICAL;error setting rally point
ArduCopter/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;failed to set rally point
ArduCopter/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;Frame:
ArduCopter/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;Initialising APM...
ArduCopter/GCS_Mavlink.cpp;MAV_SEVERITY_WARNING;PX4:
ArduCopter/Log.cpp;MAV_SEVERITY_CRITICAL;Log erase complete\n
ArduCopter/Log.cpp;MAV_SEVERITY_CRITICAL;No dataflash inserted
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Accelerometers not healthy
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Altitude disparity
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Barometer not healthy
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Check Battery
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: check fence
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Collective below Failsafe
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Gyro calibration failed
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Gyros not healthy
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: gyros still settling
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Leaning
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Mode not armable
libraries/APM_OBC/APM_OBC.cpp;MAV_SEVERITY_CRITICAL;Dual loss TERMINATE
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Motor Emergency Stopped
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Motor Interlock Enabled
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Rotor is Spinning
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Safety Switch
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Throttle below Failsafe
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Arm: Waiting for Nav Checks
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;ARMING MOTORS
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;DISARMING MOTORS
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;Locate Copter Alarm!
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm:
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Accelerometers not healthy
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Accels not calibrated
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: ACRO_BAL_ROLL/PITCH
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Altitude disparity
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Barometer not healthy
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Check ANGLE_MAX
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Check Battery
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Check Board Voltage
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: check fence
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Check FS_THR_VALUE
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Check mag field
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: check range finder
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Collective below Failsafe
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Duplicate Aux Switch Options
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: EKF-home variance
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Gyros not healthy
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: gyros still settling
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: High GPS HDOP
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: inconsistent Accelerometers
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: inconsistent Gyros
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Interlock/E-Stop Conflict
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Motor Emergency Stopped
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Motor Interlock Enabled
modules/PX4Firmware/src/modules/mavlink/mavlink_mission.cpp;MAV_SEVERITY_CRITICAL;IGN MISSION_ITEM: Busy
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Need 3D Fix
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: RC not calibrated
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Throttle below Failsafe
ArduCopter/motors.cpp;MAV_SEVERITY_CRITICAL;PreArm: Waiting for Nav Checks
ArduCopter/sensors.cpp;MAV_SEVERITY_WARNING;barometer calibration complete
ArduCopter/sensors.cpp;MAV_SEVERITY_WARNING;Calibrating barometer
ArduCopter/switches.cpp;MAV_SEVERITY_CRITICAL;Trim saved
ArduCopter/system.cpp;MAV_SEVERITY_WARNING;Waiting for first HIL_STATE message
ArduPlane/ArduPlane.cpp;MAV_SEVERITY_CRITICAL;Disable fence failed (autodisable)
ArduPlane/ArduPlane.cpp;MAV_SEVERITY_CRITICAL;Disable fence floor failed (autodisable)
ArduPlane/ArduPlane.cpp;MAV_SEVERITY_WARNING;FBWA tdrag mode\n
ArduPlane/ArduPlane.cpp;MAV_SEVERITY_CRITICAL;Fence disabled (autodisable)
ArduPlane/ArduPlane.cpp;MAV_SEVERITY_CRITICAL;Fence floor disabled (auto disable)
ArduPlane/arming_checks.cpp;MAV_SEVERITY_CRITICAL;PreArm: invalid THR_FS_VALUE for rev throttle
ArduPlane/arming_checks.cpp;MAV_SEVERITY_CRITICAL;PreArm: LIM_PITCH_MAX too small
ArduPlane/arming_checks.cpp;MAV_SEVERITY_CRITICAL;PreArm: LIM_PITCH_MIN too large
ArduPlane/arming_checks.cpp;MAV_SEVERITY_CRITICAL;PreArm: LIM_ROLL_CD too small
ArduPlane/Attitude.cpp;MAV_SEVERITY_WARNING;Demo Servos!
